run,tag,step,value
PPO_1,rollout/ep_rew_mean,10158080,182.55963134765625
PPO_1,rollout/ep_rew_mean,10240000,180.79920959472656
PPO_1,rollout/ep_rew_mean,10321920,184.07684326171875
PPO_1,rollout/ep_rew_mean,10403840,181.80032348632812
PPO_1,rollout/ep_rew_mean,10485760,180.02610778808594
PPO_1,time/fps,81920,2017.0
PPO_1,time/fps,163840,2314.0
PPO_1,time/fps,245760,2292.0
PPO_1,time/fps,327680,2310.0
PPO_1,time/fps,409600,2287.0
PPO_1,time/fps,491520,2313.0
PPO_1,time/fps,573440,2359.0
PPO_1,time/fps,655360,2413.0
PPO_1,time/fps,737280,2461.0
PPO_1,time/fps,819200,2505.0
PPO_1,time/fps,901120,2543.0
PPO_1,time/fps,983040,2575.0
PPO_1,time/fps,1064960,2599.0
PPO_1,time/fps,1146880,2606.0
PPO_1,time/fps,1228800,2611.0
PPO_1,time/fps,1310720,2610.0
PPO_1,time/fps,1392640,2603.0
PPO_1,time/fps,1474560,2608.0
PPO_1,time/fps,1556480,2611.0
PPO_1,time/fps,1638400,2602.0
PPO_1,time/fps,1720320,2606.0
PPO_1,time/fps,1802240,2589.0
PPO_1,time/fps,1884160,2598.0
PPO_1,time/fps,1966080,2603.0
PPO_1,time/fps,2048000,2613.0
PPO_1,time/fps,2129920,2597.0
PPO_1,time/fps,2211840,2591.0
PPO_1,time/fps,2293760,2590.0
PPO_1,time/fps,2375680,2592.0
PPO_1,time/fps,2457600,2585.0
PPO_1,time/fps,2539520,2584.0
PPO_1,time/fps,2621440,2588.0
PPO_1,time/fps,2703360,2588.0
PPO_1,time/fps,2785280,2592.0
PPO_1,time/fps,2867200,2600.0
PPO_1,time/fps,2949120,2607.0
PPO_1,time/fps,3031040,2611.0
PPO_1,time/fps,3112960,2615.0
PPO_1,time/fps,3194880,2621.0
PPO_1,time/fps,3276800,2619.0
PPO_1,time/fps,3358720,2623.0
PPO_1,time/fps,3440640,2624.0
PPO_1,time/fps,3522560,2626.0
PPO_1,time/fps,3604480,2627.0
PPO_1,time/fps,3686400,2621.0
PPO_1,time/fps,3768320,2618.0
PPO_1,time/fps,3850240,2614.0
PPO_1,time/fps,3932160,2615.0
PPO_1,time/fps,4014080,2617.0
PPO_1,time/fps,4096000,2618.0
PPO_1,time/fps,4177920,2620.0
PPO_1,time/fps,4259840,2625.0
PPO_1,time/fps,4341760,2628.0
PPO_1,time/fps,4423680,2630.0
PPO_1,time/fps,4505600,2631.0
PPO_1,time/fps,4587520,2632.0
PPO_1,time/fps,4669440,2632.0
PPO_1,time/fps,4751360,2630.0
PPO_1,time/fps,4833280,2633.0
PPO_1,time/fps,4915200,2626.0
PPO_1,time/fps,4997120,2626.0
PPO_1,time/fps,5079040,2630.0
PPO_1,time/fps,5160960,2633.0
PPO_1,time/fps,5242880,2635.0
